print_run,start_rip,end_rip
impr 2011-01,03277047,06961229
imp 2014-08,07369642,07369642
rev 2012-01 impr 2012-03,08718215,10047571
rev 2012-01,10261156,12576955
imp 2013-10,12855779,13390719
rev 2012-01 IMPRIME 2014/04,13477183,14159002
imp 2015-03,14211320,14211546
ips 1834703..,14220735,14319014
imp 2014-08,14351769,14358840
imp 2014-10,14432569,14432708
imp 2014-08,14432809,14432809
imp 2015-03,14432734,14432734
imp 2014-08,14480558,14480558
imp 2014-08,14549012,15460886
imp 2014-10,15461066,16708998
imp 2015-03 or imp 2015-06,16709026,18009985
imp 2016-02,18010049,19219233
rev 2016-06 impr 2017-05,19219310,19219310
rev 2017-05 impr 2017-11,19219322,19219373
imp 2016-02,19219548,20509992
rev 2016-06 impr 2017-05,20610010,21510007
rev 2017-05 impr 2017-07,21510019,21510591
rev 2016-06 impr 2017-05,21510603,21510603
rev 2017-05 impr 2017-07,21510615,22510008
rev 2017-05,22510010,25716008
rev 2012-01,28474599,29591221
rev 2016-12,38484441,49146020
